date,count
2023-03-06,4574
2023-03-07,4453
2023-03-08,4317
2023-03-09,3961
2023-03-10,3592
2023-03-11,3083
2023-03-12,4026
2023-03-13,5288
2023-03-14,5071
2023-03-15,4368
2023-03-16,4348
2023-03-17,3718
2023-03-18,3105
2023-03-19,3683
2023-03-20,4727
2023-03-21,4746
2023-03-22,4321
2023-03-23,3968
2023-03-24,3739
2023-03-25,2745
2023-03-26,3156
2023-03-27,3923
2023-03-28,3596
2023-03-29,3437
2023-03-30,3048
2023-03-31,2508
2023-04-01,2082
2023-04-02,2247
2023-04-03,2457
2023-04-04,2183
2023-04-05,2234
2023-04-06,1965
2023-04-07,1599
2023-04-08,1529
2023-04-09,1640
2023-04-10,2133
2023-04-11,2281
2023-04-12,2054
2023-04-13,1879
2023-04-14,1553
2023-04-15,1271
2023-04-16,1787
2023-04-17,2059
2023-04-18,1802
2023-04-19,1704
2023-04-20,1487
2023-04-21,1343
2023-04-22,1189
2023-04-23,1432
2023-04-24,1706
2023-04-25,1604
2023-04-26,1567
2023-04-27,1513
2023-04-28,1368
2023-04-29,1208
2023-04-30,1240
2023-05-01,1651
2023-05-02,1775
2023-05-03,1526
2023-05-04,1478
2023-05-05,1198
2023-05-06,934
2023-05-07,1108
2023-05-08,1327
2023-05-09,1447
2023-05-10,1265
2023-05-11,1196
2023-05-12,948
2023-05-13,782
2023-05-14,1029
2023-05-15,1139
2023-05-16,1068
2023-05-17,991
2023-05-18,973
2023-05-19,881
2023-05-20,717
2023-05-21,880
2023-05-22,1095
2023-05-23,1040
2023-05-24,922
2023-05-25,821
2023-05-26,708
2023-05-27,567
2023-05-28,596
2023-05-29,746
2023-05-30,780
2023-05-31,813
2023-06-01,674
2023-06-02,578
2023-06-03,472
2023-06-04,614
2023-06-05,805
2023-06-06,757
2023-06-07,682
2023-06-08,578
2023-06-09,468
2023-06-10,382
2023-06-11,517
2023-06-12,584
2023-06-13,508
2023-06-14,463
2023-06-15,384
2023-06-16,339
2023-06-17,333
2023-06-18,350
2023-06-19,421
2023-06-20,396
2023-06-21,370
2023-06-22,345
2023-06-23,289
2023-06-24,259
2023-06-25,302
2023-06-26,306
2023-06-27,295
2023-06-28,298
2023-06-29,252
2023-06-30,236
2023-07-01,209
2023-07-02,264
2023-07-03,345
2023-07-04,309
2023-07-05,343
2023-07-06,314
2023-07-07,349
2023-07-08,308
2023-07-09,391
2023-07-10,457
2023-07-11,450
2023-07-12,417
2023-07-13,417
2023-07-14,339
2023-07-15,338
2023-07-16,384
2023-07-17,491
2023-07-18,517
2023-07-19,468
2023-07-20,497
2023-07-21,442
2023-07-22,412
2023-07-23,495
2023-07-24,630
2023-07-25,647
2023-07-26,622
2023-07-27,629
2023-07-28,625
2023-07-29,629
2023-07-30,752
2023-07-31,847
2023-08-01,846
2023-08-02,823
2023-08-03,807
2023-08-04,770
2023-08-05,680
2023-08-06,826
2023-08-07,1020
2023-08-08,1086
2023-08-09,1034
2023-08-10,990
2023-08-11,919
2023-08-12,853
2023-08-13,976
2023-08-14,1098
2023-08-15,1092
